date,date_id,year,month,day,weekday
2011-04-20,112,2011,4,20,Wednesday
2011-04-21,113,2011,4,21,Thursday
2011-04-26,114,2011,4,26,Tuesday
2011-04-27,115,2011,4,27,Wednesday
2011-04-28,116,2011,4,28,Thursday
2011-05-01,117,2011,5,1,Sunday
2011-05-03,118,2011,5,3,Tuesday
2011-05-04,119,2011,5,4,Wednesday
2011-05-05,120,2011,5,5,Thursday
2011-05-06,121,2011,5,6,Friday
2011-05-08,122,2011,5,8,Sunday
2011-05-09,123,2011,5,9,Monday
2011-05-10,124,2011,5,10,Tuesday
2011-05-11,125,2011,5,11,Wednesday
2011-05-12,126,2011,5,12,Thursday
2011-05-13,127,2011,5,13,Friday
2011-05-15,128,2011,5,15,Sunday
2011-05-16,129,2011,5,16,Monday
2011-05-17,130,2011,5,17,Tuesday
2011-05-18,131,2011,5,18,Wednesday
2011-05-19,132,2011,5,19,Thursday
2011-05-20,133,2011,5,20,Friday
2011-05-22,134,2011,5,22,Sunday
2011-05-23,135,2011,5,23,Monday
2011-05-24,136,2011,5,24,Tuesday
2011-05-25,137,2011,5,25,Wednesday
2011-05-26,138,2011,5,26,Thursday
2011-05-27,139,2011,5,27,Friday
2011-05-29,140,2011,5,29,Sunday
2011-05-31,141,2011,5,31,Tuesday
2011-06-01,142,2011,6,1,Wednesday
2011-06-02,143,2011,6,2,Thursday
2011-06-03,144,2011,6,3,Friday
2011-06-05,145,2011,6,5,Sunday
2011-06-06,146,2011,6,6,Monday
2011-06-07,147,2011,6,7,Tuesday
2011-06-08,148,2011,6,8,Wednesday
2011-06-09,149,2011,6,9,Thursday
2011-06-10,150,2011,6,10,Friday
2011-06-12,151,2011,6,12,Sunday
2011-06-13,152,2011,6,13,Monday
2011-06-14,153,2011,6,14,Tuesday
2011-06-15,154,2011,6,15,Wednesday
2011-06-16,155,2011,6,16,Thursday
2011-06-17,156,2011,6,17,Friday
2011-06-19,157,2011,6,19,Sunday
2011-06-20,158,2011,6,20,Monday
2011-06-21,159,2011,6,21,Tuesday
2011-06-22,160,2011,6,22,Wednesday
2011-06-23,161,2011,6,23,Thursday
2011-06-24,162,2011,6,24,Friday
2011-06-26,163,2011,6,26,Sunday
2011-06-27,164,2011,6,27,Monday
2011-06-28,165,2011,6,28,Tuesday
2011-06-29,166,2011,6,29,Wednesday
2011-06-30,167,2011,6,30,Thursday
2011-07-01,168,2011,7,1,Friday
2011-07-03,169,2011,7,3,Sunday
2011-07-04,170,2011,7,4,Monday
2011-07-05,171,2011,7,5,Tuesday
2011-07-06,172,2011,7,6,Wednesday
2011-07-07,173,2011,7,7,Thursday
2011-07-08,174,2011,7,8,Friday
2011-07-10,175,2011,7,10,Sunday
2011-07-11,176,2011,7,11,Monday
2011-07-12,177,2011,7,12,Tuesday
2011-07-13,178,2011,7,13,Wednesday
2011-07-14,179,2011,7,14,Thursday
2011-07-15,180,2011,7,15,Friday
2011-07-17,181,2011,7,17,Sunday
2011-07-18,182,2011,7,18,Monday
2011-07-19,183,2011,7,19,Tuesday
2011-07-20,184,2011,7,20,Wednesday
2011-07-21,185,2011,7,21,Thursday
2011-07-22,186,2011,7,22,Friday
2011-07-24,187,2011,7,24,Sunday
2011-07-25,188,2011,7,25,Monday
2011-07-26,189,2011,7,26,Tuesday
2011-07-27,190,2011,7,27,Wednesday
2011-07-28,191,2011,7,28,Thursday
2011-07-29,192,2011,7,29,Friday
2011-07-31,193,2011,7,31,Sunday
2011-08-01,194,2011,8,1,Monday
2011-08-02,195,2011,8,2,Tuesday
2011-08-03,196,2011,8,3,Wednesday
2011-08-04,197,2011,8,4,Thursday
2011-08-05,198,2011,8,5,Friday
2011-08-07,199,2011,8,7,Sunday
2011-08-08,200,2011,8,8,Monday
2011-08-09,201,2011,8,9,Tuesday
2011-08-10,202,2011,8,10,Wednesday
2011-08-11,203,2011,8,11,Thursday
2011-08-12,204,2011,8,12,Friday
2011-08-14,205,2011,8,14,Sunday
2011-08-15,206,2011,8,15,Monday
2011-08-16,207,2011,8,16,Tuesday
2011-08-17,208,2011,8,17,Wednesday
2011-08-18,209,2011,8,18,Thursday
2011-08-19,210,2011,8,19,Friday
2011-08-21,211,2011,8,21,Sunday
2011-08-22,212,2011,8,22,Monday
2011-08-23,213,2011,8,23,Tuesday
2011-08-24,214,2011,8,24,Wednesday
2011-08-25,215,2011,8,25,Thursday
2011-08-26,216,2011,8,26,Friday
2011-08-28,217,2011,8,28,Sunday
2011-08-30,218,2011,8,30,Tuesday
2011-08-31,219,2011,8,31,Wednesday
2011-09-01,220,2011,9,1,Thursday
2011-09-02,221,2011,9,2,Friday
2011-09-04,222,2011,9,4,Sunday
2011-09-05,223,2011,9,5,Monday
2011-09-06,224,2011,9,6,Tuesday
2011-09-07,225,2011,9,7,Wednesday
2011-09-08,226,2011,9,8,Thursday
2011-09-09,227,2011,9,9,Friday
2011-09-11,228,2011,9,11,Sunday
2011-09-12,229,2011,9,12,Monday
2011-09-13,230,2011,9,13,Tuesday
2011-09-14,231,2011,9,14,Wednesday
2011-09-15,232,2011,9,15,Thursday
2011-09-16,233,2011,9,16,Friday
2011-09-18,234,2011,9,18,Sunday
2011-09-19,235,2011,9,19,Monday
2011-09-20,236,2011,9,20,Tuesday
2011-09-21,237,2011,9,21,Wednesday
2011-09-22,238,2011,9,22,Thursday
2011-09-23,239,2011,9,23,Friday
2011-09-25,240,2011,9,25,Sunday
2011-09-26,241,2011,9,26,Monday
2011-09-27,242,2011,9,27,Tuesday
2011-09-28,243,2011,9,28,Wednesday
2011-09-29,244,2011,9,29,Thursday
2011-09-30,245,2011,9,30,Friday
2011-10-02,246,2011,10,2,Sunday
2011-10-03,247,2011,10,3,Monday
2011-10-04,248,2011,10,4,Tuesday
2011-10-05,249,2011,10,5,Wednesday
2011-10-06,250,2011,10,6,Thursday
2011-10-07,251,2011,10,7,Friday
2011-10-09,252,2011,10,9,Sunday
2011-10-10,253,2011,10,10,Monday
2011-10-11,254,2011,10,11,Tuesday
2011-10-12,255,2011,10,12,Wednesday
2011-10-13,256,2011,10,13,Thursday
2011-10-14,257,2011,10,14,Friday
2011-10-16,258,2011,10,16,Sunday
2011-10-17,259,2011,10,17,Monday
2011-10-18,260,2011,10,18,Tuesday
2011-10-19,261,2011,10,19,Wednesday
2011-10-20,262,2011,10,20,Thursday
2011-10-21,263,2011,10,21,Friday
2011-10-23,264,2011,10,23,Sunday
2011-10-24,265,2011,10,24,Monday
2011-10-25,266,2011,10,25,Tuesday
2011-10-26,267,2011,10,26,Wednesday
2011-10-27,268,2011,10,27,Thursday
2011-10-28,269,2011,10,28,Friday
2011-10-30,270,2011,10,30,Sunday
2011-10-31,271,2011,10,31,Monday
2011-11-01,272,2011,11,1,Tuesday
2011-11-02,273,2011,11,2,Wednesday
2011-11-03,274,2011,11,3,Thursday
2011-11-04,275,2011,11,4,Friday
2011-11-06,276,2011,11,6,Sunday
2011-11-07,277,2011,11,7,Monday
2011-11-08,278,2011,11,8,Tuesday
2011-11-09,279,2011,11,9,Wednesday
2011-11-10,280,2011,11,10,Thursday
2011-11-11,281,2011,11,11,Friday
2011-11-13,282,2011,11,13,Sunday
2011-11-14,283,2011,11,14,Monday
2011-11-15,284,2011,11,15,Tuesday
2011-11-16,285,2011,11,16,Wednesday
2011-11-17,286,2011,11,17,Thursday
2011-11-18,287,2011,11,18,Friday
2011-11-20,288,2011,11,20,Sunday
2011-11-21,289,2011,11,21,Monday
2011-11-22,290,2011,11,22,Tuesday
2011-11-23,291,2011,11,23,Wednesday
2011-11-24,292,2011,11,24,Thursday
2011-11-25,293,2011,11,25,Friday
2011-11-27,294,2011,11,27,Sunday
2011-11-28,295,2011,11,28,Monday
2011-11-29,296,2011,11,29,Tuesday
2011-11-30,297,2011,11,30,Wednesday
2011-12-01,298,2011,12,1,Thursday
2011-12-02,299,2011,12,2,Friday
2011-12-04,300,2011,12,4,Sunday
2011-12-05,301,2011,12,5,Monday
2011-12-06,302,2011,12,6,Tuesday
2011-12-07,303,2011,12,7,Wednesday
2011-12-08,304,2011,12,8,Thursday
2011-12-09,305,2011,12,9,Friday
